evaluation_run_id,evaluation_id,request_id,timestamp,user_id,session_id,repetition_index,configuration_id,test_case_id,test_case_description,provider,model,context_mode,context_enabled,memory_enabled,user_query,context_summary,generated_response,total_latency_ms,context_building_latency_ms,memory_retrieval_latency_ms,llm_generation_latency_ms,prompt_length_chars,response_length_chars,retrieved_memory_count,retrieved_memories_included,estimated_prompt_tokens,estimated_response_tokens,success,error_message,fallback_used
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-ollama_none_memory_false-rep1,7b956ccf-20ad-4ed3-bae1-956ef1eec08d,2026-06-01T19:49:30.980289+00:00,9001,9001,1,ollama_none_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,qwen2.5:7b,none,False,False,What should I do?,Evaluation context disabled for this configuration.,"You've got this! Take a look at how the pipes are connected around you. Sometimes, just moving one piece can open up new possibilities.",4417.341,0.004,0,4417.279,4824,135,0,False,1206,34,True,,False
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-ollama_none_memory_false-rep2,7afaacfc-c3f4-436e-9a3d-4e57d68ce872,2026-06-01T19:49:35.489088+00:00,9001,9001,2,ollama_none_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,qwen2.5:7b,none,False,False,What should I do?,Evaluation context disabled for this configuration.,"Look at the pipe sections around you. You've got a few choices, but consider which ones might connect logically based on their shapes. You're close!",1082.19,0.003,0,1082.131,4824,148,0,False,1206,37,True,,False
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-ollama_none_memory_false-rep3,dba4c669-3a54-4349-be0e-03bf73cefa46,2026-06-01T19:49:36.654553+00:00,9001,9001,3,ollama_none_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,qwen2.5:7b,none,False,False,What should I do?,Evaluation context disabled for this configuration.,"Take a look at the pipe segments around the area you just placed. Sometimes, checking nearby connections can give you clues.",1060.052,0.002,0,1060.001,4824,124,0,False,1206,31,True,,False
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-ollama_full_memory_false-rep1,bef4ea3a-8432-4748-acd7-6bc4b4a097be,2026-06-01T19:49:37.813944+00:00,9001,9001,1,ollama_full_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,qwen2.5:7b,full,True,False,What should I do?,"Initial state before the player has interacted with any pipe.. Status=not_started, Held=nothing, Correct=0/3, RecentFailures=0, RecentSuccesses=0.","You have a straight short pipe and a curved short pipe in your inventory. Try placing one of those into slot A or B, depending on where you want the water to flow next.",1909.047,0.023,0,1908.899,7400,168,0,False,1850,42,True,,False
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-ollama_full_memory_false-rep2,171a7723-8418-4b4a-946c-6f30c26e2481,2026-06-01T19:49:39.796070+00:00,9001,9001,2,ollama_full_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,qwen2.5:7b,full,True,False,What should I do?,"Initial state before the player has interacted with any pipe.. Status=not_started, Held=nothing, Correct=0/3, RecentFailures=0, RecentSuccesses=0.","You have three slots to fill, each requiring a specific pipe type: a straight short pipe for slot A, a curved short pipe for slot B, and a three-way junction pipe for slot C. Look around; perhaps you can find these in your inventory or nearby.",1691.856,0.02,0,1691.715,7400,243,0,False,1850,61,True,,False
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-ollama_full_memory_false-rep3,26075b96-4100-490f-b0a2-997b68b9245c,2026-06-01T19:49:41.547029+00:00,9001,9001,3,ollama_full_memory_false,initial_state,Initial state before the player has interacted with any pipe.,ollama,qwen2.5:7b,full,True,False,What should I do?,"Initial state before the player has interacted with any pipe.. Status=not_started, Held=nothing, Correct=0/3, RecentFailures=0, RecentSuccesses=0.","You have three slots to fill with specific pipes: a straight short pipe, a curved short pipe, and a three-way junction. Take a look around; which slot seems like it needs a straight pipe?",1386.548,0.016,0,1386.411,7400,187,0,False,1850,47,True,,False
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-ollama_full_memory_true-rep1,267c81c5-e1bc-49f2-99ab-aaf7f1c8f410,2026-06-01T19:49:42.992745+00:00,9001,9001,1,ollama_full_memory_true,initial_state,Initial state before the player has interacted with any pipe.,ollama,qwen2.5:7b,full,True,True,What should I do?,"Initial state before the player has interacted with any pipe.. Status=not_started, Held=nothing, Correct=0/3, RecentFailures=0, RecentSuccesses=0.","Take a look at the slots and their required pipes. Perhaps start with slot_a, which needs a straight_short pipe.",2345.54,0.016,266.997,2078.387,8361,112,5,True,2090,28,True,,False
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-ollama_full_memory_true-rep2,272bd972-6171-4ccd-b50f-cf8fbfecef10,2026-06-01T19:49:45.401464+00:00,9001,9001,2,ollama_full_memory_true,initial_state,Initial state before the player has interacted with any pipe.,ollama,qwen2.5:7b,full,True,True,What should I do?,"Initial state before the player has interacted with any pipe.. Status=not_started, Held=nothing, Correct=0/3, RecentFailures=0, RecentSuccesses=0.",You haven't placed any pipes yet. Try picking up a straight short pipe and placing it in slot A.,2291.508,0.018,243.737,2047.618,8361,96,5,True,2090,24,True,,False
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-ollama_full_memory_true-rep3,84bf3572-519b-444d-b2dc-444754af3378,2026-06-01T19:49:47.758040+00:00,9001,9001,3,ollama_full_memory_true,initial_state,Initial state before the player has interacted with any pipe.,ollama,qwen2.5:7b,full,True,True,What should I do?,"Initial state before the player has interacted with any pipe.. Status=not_started, Held=nothing, Correct=0/3, RecentFailures=0, RecentSuccesses=0.",You haven't placed any pipes yet. Try picking up a straight short pipe and placing it in slot A.,2345.163,0.018,309.195,2035.723,8361,96,5,True,2090,24,True,,False
307a29d6-2f9d-4dd4-8433-890fef9135fd,307a29d6-2f9d-4dd4-8433-890fef9135fd-initial_state-openai_none_memory_false-rep1,00684c55-3122-41d8-81e3-bc03af6e59ea,2026-06-01T19:49:50.169399+00:00,9001,9001,1,openai_none_memory_false,initial_state,Initial state before the player has interacted with any pipe.,openai,gpt-5.4-mini,none,False,False,What should I do?,Evaluation context disabled for this configuration.,"Try focusing on the shape of the open ends first, then look for pieces that can connect cleanly without forcing a turn. If you want, tell me what pieces or openings you see and I’ll help you narrow the next move.",1283.946,0.002,0,1283.888,4824,212,0,False,1206,53,True,,False
